geneSymbol	geneName	ProbeID	logFC	P.Value	adj.P.Val
SCCPDH	saccharopine dehydrogenase (putative)	4490220	-0.21386994	0.005666755	0.044802053
OCIAD2	OCIA domain containing 2	3310025	0.217870036	0.005666989	0.044802053
ZFP106	zinc finger protein 106 homolog (mouse)	1010370	0.276065675	0.00567023	0.04481174
C3orf26	chromosome 3 open reading frame 26	520224	-0.228872777	0.005674197	0.044827163
PPT2	palmitoyl-protein thioesterase 2	4780059	0.21796948	0.005687833	0.044918935
SLC5A3	"solute carrier family 5 (sodium/myo-inositol cotransporter), member 3"	1660551	-0.230897341	0.005696533	0.044956297
GSTM2	glutathione S-transferase mu 2 (muscle)	5550735	0.244469148	0.005696896	0.044956297
ZDHHC16	"zinc finger, DHHC-type containing 16"	1770358	0.210654098	0.005700218	0.044956297
HCG4	HLA complex group 4 (non-protein coding)	2690390	0.262518113	0.00570065	0.044956297
PROSC	proline synthetase co-transcribed homolog (bacterial)	1050039	0.21325327	0.005706459	0.044986153
POLR1C	"polymerase (RNA) I polypeptide C, 30kDa"	1010653	0.208493619	0.005708798	0.044988645
FMNL2	formin-like 2	2710605	0.257181222	0.005722125	0.045077699
ESPL1	extra spindle pole bodies homolog 1 (S. cerevisiae)	540224	-0.240544579	0.005726736	0.045098047
NA	NA	6380725	-0.240516589	0.005745903	0.04523297
LAMA3	"laminin, alpha 3"	6480592	-0.220330887	0.005765456	0.045370837
SLC25A1	"solute carrier family 25 (mitochondrial carrier; citrate transporter), member 1"	6900440	0.219642378	0.005771641	0.04540344
SLC35A1	"solute carrier family 35 (CMP-sialic acid transporter), member A1"	6510204	-0.319757751	0.005782983	0.045476574
OBFC2A	oligonucleotide/oligosaccharide-binding fold containing 2A	4260253	0.231497774	0.005789636	0.045512799
LIN9	lin-9 homolog (C. elegans)	6420703	-0.227630406	0.005816187	0.045690564
NA	NA	1990240	-0.212287703	0.005816358	0.045690564
IL32	interleukin 32	3440754	0.214518033	0.005821174	0.045712248
RNF26	ring finger protein 26	1430008	-0.205378463	0.005825192	0.045720515
CHSY1	chondroitin sulfate synthase 1	3060128	0.248646164	0.005826338	0.045720515
LPPR2	lipid phosphate phosphatase-related protein type 2	4480221	0.236055899	0.005829053	0.04572568
YWHAE	"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide"	510619	-0.241288647	0.005836376	0.045766988
NA	NA	4560673	0.28016222	0.005855784	0.045891485
NA	NA	2450754	0.206338488	0.00585638	0.045891485
CC2D2A	coiled-coil and C2 domain containing 2A	6900739	0.223481955	0.005868104	0.045953731
DRG2	developmentally regulated GTP binding protein 2	5960017	0.233091885	0.005869752	0.045953731
MBD5	methyl-CpG binding domain protein 5	7560368	0.227533216	0.005870522	0.045953731
COL27A1	"collagen, type XXVII, alpha 1"	2120181	0.222122392	0.005900672	0.046169163
SLC35C2	"solute carrier family 35, member C2"	4230437	0.230258766	0.005902196	0.046169163
SKA3	spindle and kinetochore associated complex subunit 3	4180133	-0.236258505	0.005909355	0.046208909
NA	NA	7210333	0.2661807	0.005922282	0.046282551
WLS	wntless homolog (Drosophila)	1570441	0.249711563	0.005922935	0.046282551
LIMS2	LIM and senescent cell antigen-like domains 2	4280010	-0.223966953	0.005927384	0.046301051
MCM3AP-AS1	MCM3AP antisense RNA 1 (non-protein coding)	6380438	0.216925415	0.005936724	0.046357727
ACSS1	acyl-CoA synthetase short-chain family member 1	5220377	-0.213304746	0.005946882	0.046420748
NA	NA	5360315	-0.225756457	0.005955114	0.046452777
LIN54	lin-54 homolog (C. elegans)	3440301	-0.203488206	0.005955163	0.046452777
SQSTM1	sequestosome 1	4260044	0.218079415	0.005970243	0.046550666
RRAS2	related RAS viral (r-ras) oncogene homolog 2	620546	-0.217853353	0.005971899	0.046550666
NA	NA	1780274	0.218057886	0.005979553	0.046594004
ANAPC16	anaphase promoting complex subunit 16	7210300	0.203499697	0.005982948	0.046604129
UROD	uroporphyrinogen decarboxylase	4760020	0.228293611	0.0059934	0.046669195
ATP6V1H	"ATPase, H+ transporting, lysosomal 50/57kDa, V1 subunit H"	6330279	0.242365271	0.005999658	0.046692577
SLC25A4	"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4"	6840747	-0.227873534	0.006002603	0.046692577
TBCD	tubulin folding cofactor D	5090543	0.221155045	0.006002701	0.046692577
ALG8	"asparagine-linked glycosylation 8, alpha-1,3-glucosyltransferase homolog (S. cerevisiae)"	4850632	0.213272648	0.006009373	0.046721324
DYNC1I2	"dynein, cytoplasmic 1, intermediate chain 2"	6420133	0.254019119	0.006010599	0.046721324
SH3PXD2B	SH3 and PX domains 2B	1190437	-0.262596608	0.006015342	0.046741859
BAG5	BCL2-associated athanogene 5	130669	-0.232693888	0.006026118	0.046809234
SVEP1	"sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1"	6180554	-0.32464967	0.006033057	0.046846771
PIR	pirin (iron-binding nuclear protein)	1770402	0.204881953	0.006049791	0.046947501
KLHL5	kelch-like 5 (Drosophila)	1410161	-0.207810883	0.006050251	0.046947501
TNFRSF14	"tumor necrosis factor receptor superfamily, member 14"	6520725	0.238259609	0.00606453	0.047030463
AP2M1	"adaptor-related protein complex 2, mu 1 subunit"	240187	0.209533718	0.006065172	0.047030463
AVL9	AVL9 homolog (S. cerevisiase)	5270564	0.243048963	0.006103466	0.047310906
EXOSC1	exosome component 1	7400719	0.212221759	0.006106036	0.047314334
TUG1	taurine upregulated 1 (non-protein coding)	5420427	0.253195696	0.006120195	0.047398242
ING3	"inhibitor of growth family, member 3"	7550707	-0.2086445	0.006122115	0.047398242
BIRC2	baculoviral IAP repeat containing 2	840280	0.227065025	0.006123259	0.047398242
FOXF2	forkhead box F2	1660470	0.230762478	0.006126474	0.047406627
PBX3	pre-B-cell leukemia homeobox 3	2470634	0.219333898	0.00615955	0.047645992
CAMK2N1	calcium/calmodulin-dependent protein kinase II inhibitor 1	4060008	0.20978474	0.0061736	0.047738073
MKX	mohawk homeobox	6620017	0.235875246	0.006202754	0.047946838
RSPH3	radial spoke 3 homolog (Chlamydomonas)	2650678	-0.248658208	0.006207515	0.047966964
ATPAF1	ATP synthase mitochondrial F1 complex assembly factor 1	5810673	0.252775668	0.00621656	0.048009514
LMO7	LIM domain 7	1580475	-0.214179885	0.006217339	0.048009514
WWTR1	WW domain containing transcription regulator 1	1110730	0.204711125	0.006233431	0.048117069
SV2A	synaptic vesicle glycoprotein 2A	7550167	0.218159285	0.006237402	0.048131011
ARFGEF1	ADP-ribosylation factor guanine nucleotide-exchange factor 1 (brefeldin A-inhibited)	6100524	0.227256708	0.006241488	0.048145838
CDK19	cyclin-dependent kinase 19	3930452	0.22743233	0.006252209	0.048211819
BMI1	BMI1 polycomb ring finger oncogene	1090292	0.234697741	0.006257999	0.048226317
NA	NA	70180	0.218069534	0.006258427	0.048226317
NA	NA	4880646	-0.2190041	0.006263345	0.048240322
MPZL1	myelin protein zero-like 1	2490470	0.261297914	0.006264583	0.048240322
TXNRD1	thioredoxin reductase 1	2320133	-0.277533255	0.006272502	0.048270428
ST3GAL3	"ST3 beta-galactoside alpha-2,3-sialyltransferase 3"	7040195	0.21009151	0.006272854	0.048270428
NA	NA	3890598	0.221037214	0.006275004	0.048270428
NA	NA	4480072	-0.22696003	0.006278414	0.048279961
UBE2E2	ubiquitin-conjugating enzyme E2E 2	5270021	0.254080256	0.006287408	0.048330091
NA	NA	4010484	-0.29693832	0.006289279	0.048330091
APEX2	APEX nuclease (apurinic/apyrimidinic endonuclease) 2	1430047	-0.30154941	0.006292252	0.048336232
CDC7	cell division cycle 7 homolog (S. cerevisiae)	4900044	-0.248553252	0.006295527	0.048338469
TMEM194A	transmembrane protein 194A	870767	-0.211461875	0.00629689	0.048338469
PKMYT1	"protein kinase, membrane associated tyrosine/threonine 1"	2940164	-0.243725665	0.006304021	0.048376507
TUBA3D	"tubulin, alpha 3d"	3930132	-0.27374115	0.00631083	0.048397328
C6orf106	chromosome 6 open reading frame 106	5900504	-0.197458428	0.006311086	0.048397328
C18orf34	chromosome 18 open reading frame 34	5860102	0.209505148	0.006340653	0.048607301
SFPQ	splicing factor proline/glutamine-rich	5050408	0.262603721	0.006348669	0.048651982
PHC2	polyhomeotic homolog 2 (Drosophila)	1500524	0.209292801	0.006380481	0.048878921
NA	NA	4540358	0.329063589	0.006385993	0.048895866
HNRNPF	heterogeneous nuclear ribonucleoprotein F	5570639	-0.276082405	0.00638709	0.048895866
TMX3	thioredoxin-related transmembrane protein 3	1820187	-0.221770794	0.006400622	0.048982596
ANTXR1	anthrax toxin receptor 1	20647	-0.251293359	0.006403565	0.048988261
NA	NA	770706	-0.215206931	0.006441942	0.049249297
NA	NA	6770037	0.248685355	0.006442183	0.049249297
HAUS8	"HAUS augmin-like complex, subunit 8"	2970754	-0.219743062	0.006445806	0.049249297
HPGD	hydroxyprostaglandin dehydrogenase 15-(NAD)	4250364	0.230299611	0.006446545	0.049249297
NA	NA	7050661	-0.229560844	0.006471492	0.049422906
NA	NA	70121	-0.298061134	0.00649292	0.049569535
NA	NA	7380133	-0.238452436	0.006498208	0.049580229
WIPI1	"WD repeat domain, phosphoinositide interacting 1"	3400598	0.257457103	0.006500908	0.049580229
USF1	upstream transcription factor 1	6280333	0.23129905	0.006501009	0.049580229
NA	NA	3710079	-0.227686843	0.006514929	0.049669353
NDUFS8	"NADH dehydrogenase (ubiquinone) Fe-S protein 8, 23kDa (NADH-coenzyme Q reductase)"	1070538	0.223701951	0.006517695	0.049673415
CENPO	centromere protein O	4560682	-0.218123279	0.006527582	0.049731724
TNFRSF10B	"tumor necrosis factor receptor superfamily, member 10b"	2600463	0.21728878	0.00654636	0.049857708
NA	NA	3840471	-0.239455312	0.006550777	0.049874264
CBR3	carbonyl reductase 3	5560543	-0.233161208	0.006557879	0.049911247
PPAP2B	phosphatidic acid phosphatase type 2B	3710678	-0.203805793	0.006579639	0.050059727
RHBDL2	"rhomboid, veinlet-like 2 (Drosophila)"	6200286	0.225841454	0.006582681	0.050065743
ADCK3	aarF domain containing kinase 3	6220180	-0.227949108	0.006602101	0.050196283
RSU1	Ras suppressor protein 1	6110209	-0.209383966	0.006607393	0.050219348
HHLA3	HERV-H LTR-associating 3	2230703	0.212282339	0.006618657	0.050287773
CCNG1	cyclin G1	3170110	0.220647704	0.006621625	0.050293139
SMTN	smoothelin	6020441	0.251051572	0.006626843	0.050315593
NA	NA	650477	-0.224964353	0.006642691	0.050400504
NA	NA	5960240	0.218822484	0.006643466	0.050400504
FBXO9	F-box protein 9	5290541	0.248914346	0.006644826	0.050400504
SLC25A36	"solute carrier family 25, member 36"	3870242	0.220648873	0.006668985	0.050566503
TMSB15B	thymosin beta 15B	4200070	-0.214857675	0.006674329	0.050589778
NA	NA	290465	0.210976144	0.006688038	0.050676418
ANKRD10	ankyrin repeat domain 10	6900674	0.21406486	0.006707854	0.050809249
DACH1	dachshund homolog 1 (Drosophila)	6510554	-0.216615203	0.006713804	0.050837008
NA	NA	6860592	-0.266116839	0.006717215	0.050845525
DCAF11	DDB1 and CUL4 associated factor 11	6550689	-0.211288027	0.006723639	0.050876828
SLC39A1	"solute carrier family 39 (zinc transporter), member 1"	5670368	-0.208619786	0.00672594	0.050876929
PPIH	peptidylprolyl isomerase H (cyclophilin H)	5130241	-0.237537538	0.006738257	0.050952772
C17orf90	chromosome 17 open reading frame 90	940300	0.233580254	0.006749929	0.051023679
SEPW1	"selenoprotein W, 1"	2970025	-0.220158823	0.006769286	0.051152619
NBPF9	"neuroblastoma breakpoint family, member 9"	5310044	0.277900531	0.006777132	0.051194507
GMPPB	GDP-mannose pyrophosphorylase B	4830458	-0.223803863	0.006786137	0.051229895
TMEM184B	transmembrane protein 184B	7610369	0.272697823	0.006786423	0.051229895
NOL11	nucleolar protein 11	2630161	-0.215605366	0.006800021	0.051291654
OLFML2A	olfactomedin-like 2A	4640209	-0.31062741	0.006801176	0.051291654
COIL	coilin	4250768	0.233339594	0.006802947	0.051291654
NA	NA	2810044	0.242204173	0.00680383	0.051291654
NA	NA	360110	-0.227988347	0.006815885	0.051365116
RAP1GDS1	"RAP1, GTP-GDP dissociation stimulator 1"	4260735	0.216798656	0.006849412	0.051600297
NA	NA	5670039	0.256134526	0.006853584	0.051614242
NA	NA	4010438	0.360770654	0.006869957	0.051667466
CEP350	centrosomal protein 350kDa	5340553	-0.215082489	0.006870112	0.051667466
ST7L	suppression of tumorigenicity 7 like	1430279	0.21861075	0.00687017	0.051667466
PVRL2	poliovirus receptor-related 2 (herpesvirus entry mediator B)	4890707	0.263130312	0.006871373	0.051667466
CARM1	coactivator-associated arginine methyltransferase 1	460382	-0.233008728	0.006872268	0.051667466
TMEM101	transmembrane protein 101	1400397	-0.248539777	0.006877399	0.051688566
RECQL	RecQ protein-like (DNA helicase Q1-like)	3890750	-0.329047022	0.006886628	0.051740446
NA	NA	1050754	0.212523812	0.006893166	0.051772078
TSPYL2	TSPY-like 2	7380730	0.248580701	0.006898487	0.051794545
NBAS	neuroblastoma amplified sequence	2030474	0.209068513	0.006903666	0.051815936
NA	NA	2030242	-0.228380492	0.006910317	0.051848364
EIF5A2	eukaryotic translation initiation factor 5A2	2190356	0.287741562	0.006943818	0.052082146
CKAP2	cytoskeleton associated protein 2	7040711	-0.258229554	0.00694814	0.052096998
NA	NA	1510139	-0.207526227	0.00695683	0.052144567
NA	NA	770152	0.287020591	0.006972158	0.052241851
PSME1	"proteasome (prosome, macropain) activator subunit 1 (PA28 alpha)"	150047	0.209995722	0.006980304	0.052285276
STMN1	stathmin 1	3460707	-0.209603879	0.006983917	0.052294721
PHC3	polyhomeotic homolog 3 (Drosophila)	240524	0.211232493	0.006988769	0.052313444
HEBP2	heme binding protein 2	3940026	-0.237061082	0.006992822	0.052326166
NA	NA	6590156	-0.215160948	0.007005918	0.052406526
AEN	apoptosis enhancing nuclease	5090438	0.210179454	0.007009513	0.052415791
USP4	ubiquitin specific peptidase 4 (proto-oncogene)	6290435	-0.213896819	0.00702896	0.052543543
PICALM	phosphatidylinositol binding clathrin assembly protein	5820463	0.227419615	0.007035338	0.052573552
ASB3	ankyrin repeat and SOCS box containing 3	60309	0.21683241	0.00704358	0.05261746
ALDH1A1	"aldehyde dehydrogenase 1 family, member A1"	1070477	-0.320250278	0.007063895	0.052751501
PHLDB2	"pleckstrin homology-like domain, family B, member 2"	3780441	-0.250091622	0.007072774	0.052800072
LRRC17	leucine rich repeat containing 17	6110746	0.215303608	0.007084228	0.052867838
ALKBH3	"alkB, alkylation repair homolog 3 (E. coli)"	4610369	0.201889217	0.007088238	0.052880012
C19orf21	chromosome 19 open reading frame 21	5670341	0.218506113	0.007093728	0.052901086
RWDD2B	RWD domain containing 2B	1410189	0.20722398	0.00709582	0.052901086
C14orf37	chromosome 14 open reading frame 37	2690717	0.24480695	0.007109394	0.05298452
PACS2	phosphofurin acidic cluster sorting protein 2	5550025	0.219882572	0.007112871	0.052992675
BCAP31	B-cell receptor-associated protein 31	6450138	0.247059575	0.007123033	0.053027153
TM2D3	TM2 domain containing 3	2710025	0.231010607	0.00712693	0.053027153
DUSP5P	dual specificity phosphatase 5 pseudogene	2100373	-0.223427746	0.007127103	0.053027153
TSEN34	tRNA splicing endonuclease 34 homolog (S. cerevisiae)	5820528	0.219125084	0.007128939	0.053027153
ITGB3	"integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)"	1470685	-0.227322844	0.007129421	0.053027153
ADIPOR2	adiponectin receptor 2	6960685	0.21120179	0.007138931	0.053065232
G2E3	G2/M-phase specific E3 ubiquitin protein ligase	2850364	-0.242759676	0.007139313	0.053065232
BAZ2B	"bromodomain adjacent to zinc finger domain, 2B"	450075	0.208513654	0.00714481	0.053067988
SEC31A	SEC31 homolog A (S. cerevisiae)	3840100	0.241799413	0.0071472	0.053067988
KLHL3	kelch-like 3 (Drosophila)	2810400	0.204929537	0.007150193	0.053067988
ZDHHC13	"zinc finger, DHHC-type containing 13"	650324	-0.227057759	0.0071516	0.053067988
FILIP1L	filamin A interacting protein 1-like	650458	0.258603485	0.007151615	0.053067988
SCARNA7	small Cajal body-specific RNA 7	3830152	0.218180879	0.007166161	0.053158189
MXRA7	matrix-remodelling associated 7	3990403	-0.219132628	0.007170058	0.053169361
LOC100190986	hypothetical LOC100190986	1660044	0.332028455	0.007178954	0.053196766
CCDC97	coiled-coil domain containing 97	6650201	0.204836403	0.007180813	0.053196766
CHMP4A	chromatin modifying protein 4A	460468	-0.199306171	0.007184686	0.053196766
ARPC1A	"actin related protein 2/3 complex, subunit 1A, 41kDa"	7610692	0.19653638	0.007185408	0.053196766
EHHADH	"enoyl-CoA, hydratase/3-hydroxyacyl CoA dehydrogenase"	4880382	-0.204942924	0.007185714	0.053196766
NA	NA	270762	-0.234727136	0.007207799	0.053342508
HMGA2	high mobility group AT-hook 2	5260091	0.205815551	0.007213612	0.053367772
LAPTM4B	lysosomal protein transmembrane 4 beta	580132	0.212487357	0.007216091	0.053368356
SLC35F5	"solute carrier family 35, member F5"	3290682	0.285805719	0.007231991	0.053457658
GAL3ST4	galactose-3-O-sulfotransferase 4	4180603	-0.268480186	0.007232973	0.053457658
SMAGP	small cell adhesion glycoprotein	4610139	0.245298162	0.007245838	0.053518384
RPS20	ribosomal protein S20	3360228	-0.229618388	0.007246003	0.053518384
C7orf58	chromosome 7 open reading frame 58	380736	0.236809065	0.007263163	0.053627321
RIC8A	resistance to inhibitors of cholinesterase 8 homolog A (C. elegans)	6860373	0.201185214	0.007266317	0.053632802
NA	NA	6250292	0.20508225	0.007270323	0.05364456
PCDHGC3	"protocadherin gamma subfamily C, 3"	4810767	-0.194634494	0.007280251	0.053700001
ZNF219	zinc finger protein 219	6550632	0.206276454	0.007297484	0.053809267
SEMA3B	"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3B"	4220433	-0.237312104	0.007302713	0.053829977
FOS	FBJ murine osteosarcoma viral oncogene homolog	4280017	0.265096751	0.007312407	0.053882054
HES4	hairy and enhancer of split 4 (Drosophila)	5260070	-0.214478715	0.007314624	0.053882054
GAMT	guanidinoacetate N-methyltransferase	5290593	0.297299397	0.007324402	0.05393395
SDF2L1	stromal cell-derived factor 2-like 1	3120079	-0.254117977	0.007327981	0.05393395
NA	NA	1240360	0.223485637	0.007328944	0.05393395
STAT5A	signal transducer and activator of transcription 5A	1940487	-0.248981746	0.007341392	0.054007679
NA	NA	7560215	-0.269761281	0.007348914	0.054045136
SLC25A20	"solute carrier family 25 (carnitine/acylcarnitine translocase), member 20"	6220161	0.262551844	0.007353578	0.054061561
DIAPH3	diaphanous homolog 3 (Drosophila)	5900017	-0.23362877	0.00737201	0.054167154
MECOM	MDS1 and EVI1 complex locus	730544	-0.229662251	0.007372812	0.054167154
BCL2L12	BCL2-like 12 (proline rich)	7550753	-0.225080488	0.007381085	0.054210025
DECR2	"2,4-dienoyl CoA reductase 2, peroxisomal"	380148	0.202942418	0.007399213	0.054325223
FBXW5	F-box and WD repeat domain containing 5	1340427	0.225031541	0.007407027	0.054364642
GHR	growth hormone receptor	5050470	-0.244201597	0.007429849	0.054498531
CDKN2D	"cyclin-dependent kinase inhibitor 2D (p19, inhibits CDK4)"	7050326	-0.245927163	0.00743017	0.054498531
XRCC6BP1	XRCC6 binding protein 1	5290239	-0.19769104	0.007438669	0.054542884
MLH1	"mutL homolog 1, colon cancer, nonpolyposis type 2 (E. coli)"	4610164	-0.216557905	0.00744126	0.054543894
ALDOC	"aldolase C, fructose-bisphosphate"	7330544	0.245497389	0.007451411	0.054600305
ADH5	"alcohol dehydrogenase 5 (class III), chi polypeptide"	5720161	-0.217910758	0.00745575	0.054614105
NMT2	N-myristoyltransferase 2	3930382	-0.242588892	0.007474694	0.054732833
WDR77	WD repeat domain 77	1110440	0.25340624	0.007478501	0.054732833
GLRX5	glutaredoxin 5	2030484	0.220622709	0.007479342	0.054732833
C20orf30	chromosome 20 open reading frame 30	1110541	0.20965087	0.00750745	0.054920452
AZIN1	antizyme inhibitor 1	2480039	0.215544736	0.007514356	0.054952897
NA	NA	2000612	-0.216864487	0.007527245	0.055003476
CLTA	"clathrin, light chain A"	4390327	0.204421722	0.007527776	0.055003476
NA	NA	4150608	0.197997545	0.007528692	0.055003476
NUDT1	nudix (nucleoside diphosphate linked moiety X)-type motif 1	650347	-0.207677849	0.007531655	0.055007051
MGLL	monoglyceride lipase	3400546	-0.258193968	0.007544681	0.055084101
FAM110B	"family with sequence similarity 110, member B"	3800369	-0.246515371	0.007561411	0.055180539
BTG3	"BTG family, member 3"	7210605	-0.269431955	0.007563887	0.055180539
NA	NA	4250192	0.275686467	0.007565334	0.055180539
PTMA	"prothymosin, alpha"	460386	-0.385442316	0.007584126	0.055285268
CSNK1D	"casein kinase 1, delta"	1110736	0.205591453	0.007584664	0.055285268
CRAMP1L	"Crm, cramped-like (Drosophila)"	5340066	0.217363162	0.007589356	0.055300003
TBX18	T-box 18	4180296	-0.194709612	0.007591659	0.055300003
HIST1H2BD	"histone cluster 1, H2bd"	290730	0.228895424	0.007600769	0.05534823
ETNK1	ethanolamine kinase 1	3890543	0.249903005	0.00760699	0.055375404
TAZ	tafazzin	510326	0.195920961	0.007609551	0.055375919
IDH2	"isocitrate dehydrogenase 2 (NADP+), mitochondrial"	4880433	-0.210981279	0.007619557	0.055430595
RBMS2	"RNA binding motif, single stranded interacting protein 2"	2750039	0.212836803	0.007632204	0.055504441
GPC6	glypican 6	2370593	0.202139689	0.007634987	0.055506529
MRPL17	mitochondrial ribosomal protein L17	6660270	0.206760324	0.007644206	0.055555394
TMEM154	transmembrane protein 154	2230433	-0.25298489	0.00766165	0.055663979
NA	NA	6660433	-0.215782167	0.00766745	0.05568792
NA	NA	1450349	0.245009467	0.007670249	0.055690062
IMP3	"IMP3, U3 small nucleolar ribonucleoprotein, homolog (yeast)"	2120544	0.211139163	0.007675871	0.055701462
SIPA1L2	signal-induced proliferation-associated 1 like 2	3460053	-0.224965242	0.007676828	0.055701462
WLS	wntless homolog (Drosophila)	6940280	0.302355023	0.007703976	0.055880206
NA	NA	1570092	-0.294727278	0.007711533	0.055916786
RAB6A	"RAB6A, member RAS oncogene family"	4050349	-0.244830207	0.007730099	0.056033138
DUSP18	dual specificity phosphatase 18	3870408	0.20367341	0.007750545	0.056143309
ZDHHC16	"zinc finger, DHHC-type containing 16"	5700296	0.195658621	0.007751655	0.056143309
RAD54L	RAD54-like (S. cerevisiae)	1980291	-0.218847834	0.007752871	0.056143309
DNAJC19	"DnaJ (Hsp40) homolog, subfamily C, member 19"	4150070	-0.236111044	0.007769109	0.056242236
CUTA	cutA divalent cation tolerance homolog (E. coli)	1030427	0.251999052	0.00777159	0.056242236
MESP1	mesoderm posterior 1 homolog (mouse)	4040438	-0.21959882	0.007782808	0.056293445
GAS1	growth arrest-specific 1	360047	-0.334984257	0.007783729	0.056293445
PTPN12	"protein tyrosine phosphatase, non-receptor type 12"	3990136	0.212993415	0.007787097	0.056299493
NA	NA	460142	0.227604572	0.007792487	0.056320156
ASAP1	"ArfGAP with SH3 domain, ankyrin repeat and PH domain 1"	7000072	0.215482101	0.007795953	0.056326903
WDR48	WD repeat domain 48	2650110	0.214122408	0.007802058	0.056352703
PLGLB1	plasminogen-like B1	6420347	0.26203437	0.00781732	0.056415414
SLC25A37	"solute carrier family 25, member 37"	620682	0.216023871	0.007817411	0.056415414
FAM116B	"family with sequence similarity 116, member B"	6520241	0.287908681	0.007820495	0.056415414
NAV3	neuron navigator 3	360270	0.219280207	0.007820888	0.056415414
NA	NA	1690465	0.204965772	0.007836138	0.056485778
NA	NA	240292	0.260178077	0.007838187	0.056485778
USP6NL	USP6 N-terminal like	2470053	0.200505955	0.007838262	0.056485778
PHF19	PHD finger protein 19	7650474	-0.204428818	0.007860912	0.056630651
EPDR1	ependymin related protein 1 (zebrafish)	6400044	-0.233453448	0.007865568	0.056645845
C11orf75	chromosome 11 open reading frame 75	4900747	-0.206679703	0.007897063	0.056854254
NA	NA	6250408	-0.285154708	0.007901507	0.056856583
TPD52L2	tumor protein D52-like 2	5080577	0.219063566	0.007904107	0.056856583
USP42	ubiquitin specific peptidase 42	7400465	0.205825918	0.007905057	0.056856583
RBMS1	"RNA binding motif, single stranded interacting protein 1"	2060600	0.243364127	0.007913828	0.056901268
NA	NA	3990202	-0.271368015	0.007917621	0.056904966
CRIP2	cysteine-rich protein 2	5340246	0.194759499	0.00792535	0.056904966
G3BP2	GTPase activating protein (SH3 domain) binding protein 2	7100156	0.218022965	0.007925671	0.056904966
CCDC51	coiled-coil domain containing 51	4290259	-0.201170576	0.007931024	0.056904966
PPIC	peptidylprolyl isomerase C (cyclophilin C)	2970735	0.219772075	0.007931437	0.056904966
MYO9B	myosin IXB	3360408	-0.221569176	0.007931664	0.056904966
NA	NA	2810653	0.265094471	0.007932254	0.056904966
KDELC2	KDEL (Lys-Asp-Glu-Leu) containing 2	6110301	-0.195366697	0.007968587	0.057147183
CNIH4	cornichon homolog 4 (Drosophila)	6400332	-0.225080304	0.007987783	0.057259831
NCDN	neurochondrin	160390	0.197463938	0.007989444	0.057259831
IRF3	interferon regulatory factor 3	150397	0.205623343	0.007995211	0.0572827
PCSK7	proprotein convertase subtilisin/kexin type 7	2900731	0.201118893	0.007999305	0.057293576
MUS81	MUS81 endonuclease homolog (S. cerevisiae)	2850497	0.238833459	0.008018447	0.057398997
SSX2IP	"synovial sarcoma, X breakpoint 2 interacting protein"	1440546	-0.190853531	0.008019186	0.057398997
NA	NA	3780021	-0.210116237	0.008038445	0.057518329
B3GNT1	"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 1"	3400215	0.229135946	0.008049182	0.057576637
NA	NA	50646	0.233696962	0.008060061	0.057635915
NA	NA	2190040	0.228412934	0.008064327	0.057647886
ZDHHC14	"zinc finger, DHHC-type containing 14"	7610091	-0.227161389	0.008086392	0.057787043
HMGN1	high mobility group nucleosome binding domain 1	6220300	-0.213292192	0.008099902	0.057837003
NA	NA	70128	0.21734001	0.008101936	0.057837003
PRKAB2	"protein kinase, AMP-activated, beta 2 non-catalytic subunit"	5860307	0.207630074	0.008102189	0.057837003
PPP6R3	"protein phosphatase 6, regulatory subunit 3"	2850273	0.223059371	0.008104886	0.057837003
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	4250538	-0.218094913	0.008108785	0.057837003
MALL	"mal, T-cell differentiation protein-like"	620102	-0.217799911	0.008108988	0.057837003
RHBDD1	rhomboid domain containing 1	1780736	0.206310389	0.00814688	0.05808864
ZDHHC6	"zinc finger, DHHC-type containing 6"	540402	-0.237071117	0.008155685	0.058121964
EDA2R	ectodysplasin A2 receptor	2900259	0.209130007	0.008159195	0.058121964
MAPK3	mitogen-activated protein kinase 3	2060561	0.229398117	0.008159394	0.058121964
COG7	component of oligomeric golgi complex 7	1030358	0.215765803	0.008187897	0.05830632
PIM1	pim-1 oncogene	3130301	-0.206156042	0.008192651	0.058321497
NA	NA	3890523	0.212380694	0.008196782	0.058332236
RPA2	"replication protein A2, 32kDa"	3420561	-0.212973954	0.008228774	0.058541176
CDC34	cell division cycle 34 homolog (S. cerevisiae)	1710278	0.21674751	0.008233438	0.058555619
NA	NA	3420309	-0.208289181	0.00824029	0.058585617
RRAD	Ras-related associated with diabetes	7200639	0.221062197	0.008255654	0.058676088
GREM1	gremlin 1	70504	-0.298808348	0.008260744	0.058693512
CDK12	cyclin-dependent kinase 12	5860048	-0.225401089	0.008265232	0.058706643
NES	nestin	670278	-0.220872775	0.008285061	0.058800671
RPS6KB2	"ribosomal protein S6 kinase, 70kDa, polypeptide 2"	4150136	0.204459114	0.008286292	0.058800671
